"Product","Package ID","Status","Category","Tags","Strain","Vendor","Room","Available","Current price","Unit price (Inventory)","External package ID","Expiration date","Image URL","THC","THCA","CBD","CBN","Retail ID"
Rythm Durban Poison Liquid Diamonds AIO - 1g,1A4110300001CE9000269308,,Vapes,"Sativa, AIO, Liquid Diamonds",[GTI] Durban Poison,GTI,Backstock,25,70,70,1A4110300001CE9000269308,9/27/2026,https://leaflogixmedia.blob.core.windows.net/product-image/e7957e7b-79cd-4e4e-b0e5-6a6cbc127b79.jpg,95.23 %,0.00 %,0.00 %,0.00 %,
Rythm Blue Dream Liquid Diamonds AIO - 1g,1A4110300001CE9000269334,,Vapes,"Sativa, AIO, Liquid Diamonds",[GTI] Blue Dream,GTI,Vault,24,70,70,1A4110300001CE9000269334,11/9/2026,https://leaflogixmedia.blob.core.windows.net/product-image/245271be-61d4-41a8-bbfe-afbed3571a64.jpg,93.37 %,0.00 %,0.00 %,0.00 %,
Rythm Watermelon Z Infused Preroll 5pk - 2.5g,1A4110300001CE9000269312,,Infused Pre-roll,"Hybrid, Preroll Infused Pack",[GTI] Watermelon Z,GTI,Receiving Room,25,45,45,1A4110300001CE9000269312,12/10/2026,https://leaflogixmedia.blob.core.windows.net/product-image/57362e24-9238-455f-9307-e7fcea192f2b.jpg,51.10 %,56.65 %,0.00 %,0.00 %,
Rythm Remix Strawberry Shortcake Infused Preroll 5pk - 2.5g,1A4110300001CE9000269338,,Infused Pre-roll,"Sativa, Preroll Infused Pack",[GTI] Strawberry Shortcake,GTI,Backstock,25,45,45,1A4110300001CE9000269338,11/14/2026,https://leaflogixmedia.blob.core.windows.net/product-image/b3eeaea1-7f4e-4643-a2e3-df901e3617fe.jpg,40.30 %,43.43 %,0.00 %,0.00 %,
Rythm Remix Pineapple Express Infused Preroll 5pk - 2.5g,1A4110300001CE9000269310,,Infused Pre-roll,"Hybrid, Preroll Infused Pack",[GTI] Pineapple Express,GTI,Backstock,25,45,45,1A4110300001CE9000269310,12/9/2026,https://leaflogixmedia.blob.core.windows.net/product-image/ce46b56b-325f-4133-b741-6f1c363b51d1.jpg,49.88 %,54.78 %,0.00 %,0.00 %,
Rythm Remix Maui Wowie Infused Preroll 0.5g 5pk - 2.5g,1A4110300001CE9000269323,,Infused Pre-roll,"Sativa, Preroll Infused Pack",[GTI] Maui Wowie,GTI,Vault,21,45,45,1A4110300001CE9000269323,11/30/2026,https://leaflogixmedia.blob.core.windows.net/product-image/4ea220e2-61b1-4158-8918-697c933d8866.jpg,47.75 %,53.14 %,0.00 %,0.00 %,
Rythm Remix Mai Tai Infused Preroll 0.5g 5pk - 2.5g,1A4110300001CE9000269309,,Infused Pre-roll,"Sativa, Preroll Infused Pack",[GTI] Mai Tai,GTI,Backstock,25,45,45,1A4110300001CE9000269309,10/26/2026,https://leaflogixmedia.blob.core.windows.net/product-image/d9113e86-212c-43ae-9185-37073bdd6e28.jpg,42.31 %,46.46 %,0.00 %,0.00 %,
Rythm Blue Z Infused Preroll 5pk - 2.5g,1A4110300001CE9000269344,,Infused Pre-roll,"Hybrid, Preroll Infused Pack",[GTI] Blue Z,GTI,Vault,24,45,45,1A4110300001CE9000269344,12/16/2026,https://leaflogixmedia.blob.core.windows.net/product-image/21a2777c-83dc-47d2-8893-7e50bbea34a5.jpg,45.57 %,49.74 %,0.00 %,0.00 %,
Rythm Blue Dream Infused Preroll 5pk - 2.5g,1A4110300001CE9000269320,,Infused Pre-roll,"Indica, Preroll Infused Pack",[GTI] Blue Dream,GTI,Vault,22,45,45,1A4110300001CE9000269320,11/26/2026,https://leaflogixmedia.blob.core.windows.net/product-image/f5853359-0c09-414b-84b7-31de8e97b99c.jpg,44.98 %,50.26 %,0.00 %,0.00 %,
Rythm Remix Blueberry Kush Infused Preroll 5pk - 2.5g,1A4110300001CE9000269348,,Infused Pre-roll,"Indica, Preroll Infused Pack",[GTI] Blueberry Kush,GTI,Receiving Room,25,45,45,1A4110300001CE9000269348,12/17/2026,https://leaflogixmedia.blob.core.windows.net/product-image/5aac126e-57d2-4dbf-b8ba-51746fba36ef.jpg,46.58 %,51.11 %,0.00 %,0.00 %,
Incredibles Unstoppable Tropical (14:1:1 THC:THCv:CBDv) AIO Vape - 1g,1A4110300001CE9000269326,,Vapes,Vape 1g,[GTI] Unstoppable Tropical,GTI,Receiving Room,25,50,50,1A4110300001CE9000269326,12/3/2026,https://leaflogixmedia.blob.core.windows.net/product-image/62953f1f-0a93-40fc-aad5-c0a9bfbf9abf.jpg,69.96 %,0.00 %,0.31 %,0.27 %,
Incredibles Summer Peach (7:1 THC:CBD) AIO Vape - 1g,1A4110300001CE9000269307,,Vapes,Vape 1g,No Strain,GTI,Receiving Room,25,50,50,1A4110300001CE9000269307,11/9/2026,https://leaflogixmedia.blob.core.windows.net/product-image/ca1251c1-5da5-4f3b-8ab1-6ac2824a60ce.jpg,73.56 %,0.00 %,15.44 %,0.39 %,
Incredibles Strahhhberry (14:1:1 THC:CBD:CBG) AIO Vape - 1g,1A4110300001CE9000269325,,Vapes,Vape 1g,[GTI] Strahhhberry,GTI,Receiving Room,25,50,50,1A4110300001CE9000269325,11/9/2026,https://leaflogixmedia.blob.core.windows.net/product-image/3a38fe92-6721-42a5-b149-49e47468a861.jpg,75.97 %,0.00 %,6.08 %,0.39 %,
Incredibles Snoozze Berry (14:1:1 THC:CBG:CBN) AIO Vape - 1g,1A4110300001CE9000269315,,Vapes,Vape 1g,No Strain,GTI,Backstock,25,50,50,1A4110300001CE9000269315,9/25/2026,https://leaflogixmedia.blob.core.windows.net/product-image/6fa3dc2a-fd43-422b-a9a3-814f3cbe29c2.jpg,77.66 %,0.00 %,0.00 %,5.93 %,
Incredibles Lavender Vanilla (14:1:1 THC:CBDv:CBN) AIO Vape - 1g,1A4110300001CE9000269336,,Vapes,Vape 1g,[GTI] Lavender Vanilla,GTI,Receiving Room,25,50,50,1A4110300001CE9000269336,11/13/2026,https://leaflogixmedia.blob.core.windows.net/product-image/79307b05-060d-4b5e-8618-531e76ad1e50.jpg,68.03 %,0.00 %,0.00 %,7.31 %,
Incredibles Cherry-Lime Go-Time (14:1:1 THC:CBD:THCv) AIO Vape - 1g,1A4110300001CE9000269346,,Vapes,Vape 1g,[GTI] Cherry Lime Go Time,GTI,Receiving Room,25,50,50,1A4110300001CE9000269346,,https://leaflogixmedia.blob.core.windows.net/product-image/48b5d78c-1171-4149-9056-e5f94dcf41f0.jpg,69.57 %,0.00 %,7.68 %,0.21 %,
Incredibles Banana Pudding Bar - 100mg,1A4110300001CE9000269318,,Chocolates,Chocolate,No Strain,GTI,Vault,25,20,20,1A4110300001CE9000269318,12/9/2026,https://leaflogixmedia.blob.core.windows.net/product-image/d17d2a5a-c4e0-4fa9-9cf3-d64e14ca169e.jpg,2.16 mg/g,0.00 mg/g,0.00 mg/g,0.00 mg/g,
&Shine Chem Dawg 1000mg Vape Cartridge - 1g,1A4110300001CE9000269314,,Vapes,"Hybrid, Vape 1g, Cartridge",[GTI] Chem Dawg,GTI,Receiving Room,25,45,45,1A4110300001CE9000269314,12/4/2026,https://leaflogixmedia.blob.core.windows.net/product-image/c12d19e4-0de9-4bac-837a-81bb2b22e669.jpg,88.28 %,0.00 %,0.00 %,0.37 %,
Incredibles Garden State Chocolate Bar - 100mg,1A4110300001CE9000269319,,Chocolates,Chocolate,No Strain,GTI,Receiving Room,25,20,20,1A4110300001CE9000269319,12/24/2026,https://leaflogixmedia.blob.core.windows.net/product-image/f58c5878-ed42-4717-9617-d9772606892a.jpg,2.24 mg/g,0.00 mg/g,0.00 mg/g,0.00 mg/g,
Good Green Tangerine Haze - 14g Mixed Buds,1A4110300001CE9000269355,,Flower,"Hybrid, Mixed Buds",[GTI] Tangerine Haze,GTI,Vault,24,120,120,1A4110300001CE9000269355,,https://leaflogixmedia.blob.core.windows.net/product-image/42317eb3-f0ee-4996-8ba1-6ddf25b8beb9.jpg,19.02 %,20.98 %,0.00 %,0.00 %,
&Shine Skywalker 1000mg Vape Cartridge - 1g,1A4110300001CE9000269327,,Vapes,"Hybrid, Vape 1g",[GTI] Sour Tangie,GTI,Backstock,25,45,45,1A4110300001CE9000269327,12/10/2026,https://leaflogixmedia.blob.core.windows.net/product-image/fc3044cb-93b5-493b-824b-3389bc165dfa.jpg,89.55 %,0.00 %,0.00 %,0.43 %,
Dr. Solomon's  - Doze -  RSO/Tincture - 100mg,1A4110300001CE9000269317,,Edibles,,[GTI] Doze,GTI,Vault,9,35,35,1A4110300001CE9000269317,12/3/2026,https://leaflogixmedia.blob.core.windows.net/product-image/d58941ff-6d32-4888-ae4d-c9e7510df77f.jpg,0.39 mg/g,0.00 mg/g,0.00 mg/g,0.36 mg/g,
Rythm Afternoon Delight #4 Solventless Live Rosin (Tier 3) - 1g,1A4110300001CE9000269340,,Concentrate,"Hybrid, Rosin, Live Rosin",[GTI] Afternoon Delight #4,GTI,Vault,8,60,60,1A4110300001CE9000269340,11/23/2026,https://leaflogixmedia.blob.core.windows.net/product-image/3a1b7889-05e1-43f1-b8c4-09162b5d5f26.jpg,72.81 %,80.90 %,0.00 %,0.00 %,
Good Green 95 Cookies - 3.5g Mixed Buds,1A4110300001CE9000269356,,Flower,"Hybrid, Mixed Buds",[GTI] 95 Cookies,GTI,Backstock,100,40,40,1A4110300001CE9000269356,12/2/2026,https://leaflogixmedia.blob.core.windows.net/product-image/7eea729e-b826-4dce-bea6-6cb9c9aba43d.jpg,31.29 %,35.38 %,0.00 %,0.00 %,
&Shine Tropical Gummies 10pk - 100mg,1A4110300001CE9000269339,,Edibles,Gummies,No Strain,GTI,Receiving Room,125,15,15,1A4110300001CE9000269339,12/23/2026,https://leaflogixmedia.blob.core.windows.net/product-image/2408e28c-623c-4271-b005-0972f1bf9119.jpg,3.35 mg/g,0.00 mg/g,0.00 mg/g,0.00 mg/g,
&Shine Fruit Punch Gummies 10pk - 100mg,1A4110300001CE9000269341,,Edibles,Gummies,No Strain,GTI,Backstock,100,15,15,1A4110300001CE9000269341,12/9/2026,https://leaflogixmedia.blob.core.windows.net/product-image/97337083-89f9-46ab-b4eb-23e567f33cf4.jpg,3.29 mg/g,0.00 mg/g,0.00 mg/g,0.00 mg/g,
&Shine Blackberry Gummies 10pk - 100mg,1A4110300001CE9000269333,,Edibles,Gummies,No Strain,GTI,Backstock,125,15,15,1A4110300001CE9000269333,11/21/2026,https://leaflogixmedia.blob.core.windows.net/product-image/e2ef5bd2-8e5e-498d-8736-a1edc2db1bb3.jpg,3.43 mg/g,0.00 mg/g,0.00 mg/g,0.00 mg/g,
Rythm Remix Blue Z Infused Preroll 1pk - 1g,1A4110300001CE9000269311,,Infused Pre-roll,"Indica, Preroll 1g, Preroll Infused Pack",[GTI] Blue Z,GTI,Backstock,50,25,25,1A4110300001CE9000269311,11/13/2026,https://leaflogixmedia.blob.core.windows.net/product-image/db7b2973-359f-4b6d-ac08-94e39aedc915.jpg,47.12 %,52.72 %,0.00 %,0.00 %,
Rythm Remix Blue Dream Infused Preroll 1pk - 1g,1A4110300001CE9000269329,,Infused Pre-roll,"Indica, Preroll 1g, Preroll Infused Pack",[GTI] Blue Dream,GTI,Backstock,49,25,25,1A4110300001CE9000269329,10/25/2026,https://leaflogixmedia.blob.core.windows.net/product-image/a5455d5a-5c81-40d9-9904-cc4199b0f4c2.jpg,40.42 %,43.29 %,0.00 %,0.00 %,
Rythm Remix Blueberry Kush Infused Preroll 1pk - 1g,1A4110300001CE9000269345,,Infused Pre-roll,"Indica, Preroll 1g, Preroll Infused Pack",[GTI] Blueberry Kush,GTI,Vault,48,25,25,1A4110300001CE9000269345,11/20/2026,https://leaflogixmedia.blob.core.windows.net/product-image/b79b16d0-9d0c-46df-9af8-4f65abf259af.jpg,46.20 %,51.61 %,0.00 %,0.00 %,
Rythm Solventless Watermelon Gummies 10pk - 100mg,1A4110300001CE9000269321,,Edibles,"Gummies, Rosin",No Strain,GTI,Vault,47,30,30,1A4110300001CE9000269321,12/24/2026,https://leaflogixmedia.blob.core.windows.net/product-image/71d509b1-86e5-485e-9aa0-fc1271927553.jpg,2.24 mg/g,0.00 mg/g,0.00 mg/g,0.00 mg/g,
Rythm Solventless Pineapple Gummies 10pk - 100mg,1A4110300001CE9000269332,,Edibles,"Gummies, Rosin",No Strain,GTI,Vault,42,30,30,1A4110300001CE9000269332,11/12/2026,https://leaflogixmedia.blob.core.windows.net/product-image/022414bd-ad43-454d-a659-15709f2c5531.jpg,2.48 mg/g,0.00 mg/g,0.00 mg/g,0.00 mg/g,
Rythm Remix Watermelon Z Infused Preroll 1pk - 1g,1A4110300001CE9000269342,,Infused Pre-roll,"Indica, Preroll 1g, Preroll Infused Pack",[GTI] Watermelon Z,GTI,Backstock,50,25,25,1A4110300001CE9000269342,2/17/2027,https://leaflogixmedia.blob.core.windows.net/product-image/824a86dd-2da7-400a-b6ab-2c8f05dee6f0.jpg,41.49 %,45.98 %,0.00 %,0.00 %,
Rythm Remix Strawberry Sour Diesel Infused Preroll 1pk - 1g,1A4110300001CE9000269313,,Infused Pre-roll,"Indica, Preroll 1g, Preroll Infused Pack",[GTI] Strawberry Sour Diesel,GTI,Backstock,50,25,25,1A4110300001CE9000269313,11/5/2026,https://leaflogixmedia.blob.core.windows.net/product-image/6b210be8-d9bd-433a-a8b6-9213a23d4d0e.jpg,43.23 %,45.00 %,0.00 %,0.00 %,
Rythm Remix Strawberry Shortcake Infused Preroll 1pk - 1g,1A4110300001CE9000269330,,Infused Pre-roll,"Indica, Preroll 1g, Preroll Infused Pack",[GTI] Strawberry Shortcake,GTI,Receiving Room,50,25,25,1A4110300001CE9000269330,11/22/2026,https://leaflogixmedia.blob.core.windows.net/product-image/9304e0ea-a5e4-49d5-be16-40b33d5514ac.jpg,47.13 %,52.47 %,0.00 %,0.00 %,
Rythm Remix Maui Wowie Infused Preroll 1pk - 1g,1A4110300001CE9000269322,,Infused Pre-roll,"Sativa, Preroll Infused Pack",[GTI] Maui Wowie,GTI,Backstock,50,25,25,1A4110300001CE9000269322,11/2/2026,https://leaflogixmedia.blob.core.windows.net/product-image/f3f30a19-2fd1-4c6a-a402-f6562e20108a.jpg,41.33 %,44.30 %,0.00 %,0.00 %,
Rythm Remix Mai Tai Infused Preroll 1pk - 1g,1A4110300001CE9000269328,,Infused Pre-roll,"Sativa, Preroll Infused Pack",[GTI] Mai Tai,GTI,Backstock,50,25,25,1A4110300001CE9000269328,11/16/2026,https://leaflogixmedia.blob.core.windows.net/product-image/cf345f59-d554-43bf-8b12-6af331597a97.jpg,41.28 %,46.10 %,0.00 %,0.00 %,
Incredibles Sour Tangahhhrine Gummies 2:1 CBD:THC 10mg 10pk - 100mg,1A4110300001CE9000269324,,Gummies,Chocolate,No Strain,GTI,Vault,47,20,20,1A4110300001CE9000269324,11/26/2026,https://leaflogixmedia.blob.core.windows.net/product-image/e35267ab-f479-4f36-ab06-a5bb1daa177e.jpg,2.98 mg/g,0.00 mg/g,5.95 mg/g,0.00 mg/g,
Incredibles Watermelon Smash 1pk Gummy  - 100mg,1A4110300001CE9000269331,,Gummies,Gummies,No Strain,GTI,Vault,47,15,15,1A4110300001CE9000269331,12/9/2026,https://leaflogixmedia.blob.core.windows.net/product-image/988999b9-41f4-46f6-9eee-502c767a3cb3.jpg,11.48 mg/g,0.00 mg/g,0.14 mg/g,0.00 mg/g,
Incredibles Snoozzzeberry 10pk  - 120mg (5:1 THC:CBN),1A4110300001CE9000269337,,Edibles,Gummies,No Strain,GTI,Vault,40,16,16,1A4110300001CE9000269337,12/9/2026,https://leaflogixmedia.blob.core.windows.net/product-image/2dff64d6-0b17-4e95-bfbe-e67d8ee28f4b.jpg,3.01 mg/g,0.00 mg/g,0.00 mg/g,0.61 mg/g,
Incredibles Watermelon Smash Gummy  - 100mg,1A4110300001CE9000269331,,Gummies,Gummies,No Strain,GTI,Vault,50,15,15,1A4110300001CE9000269331,12/16/2026,https://leaflogixmedia.blob.core.windows.net/product-image/f580e18a-a1e0-4a7a-9b17-4b5aff7370d4.jpg,11.48 mg/g,0.00 mg/g,0.14 mg/g,0.00 mg/g,
Incredibles Peanut budda Buddah Chocolate Bar - 100mg,1A4110300001CE9000269343,,Chocolates,Chocolate,No Strain,GTI,Vault,48,20,20,1A4110300001CE9000269343,12/9/2026,https://leaflogixmedia.blob.core.windows.net/product-image/1dcc3abf-0c3b-456e-88a2-d47631c5d38c.jpg,2.33 mg/g,0.00 mg/g,0.00 mg/g,0.00 mg/g,
Good Green Chem Scout '87 - 3.5g,1A4110300001CE9000269357,,Flower,"Hybrid, Mixed Buds",[GTI] Chem Scout '87,GTI,Backstock,50,40,40,1A4110300001CE9000269357,12/4/2026,https://leaflogixmedia.blob.core.windows.net/product-image/4826ee25-5bab-44f7-951c-2d3006e7a95e.jpg,24.83 %,27.62 %,0.00 %,0.00 %,
Good Green Garlic Drip - 7g Mixed Buds,1A4110300001CE9000269352,,Flower,"Indica, Mixed Buds",[GTI] Garlic Drip,GTI,Backstock,50,65,65,1A4110300001CE9000269352,10/31/2026,https://leaflogixmedia.blob.core.windows.net/product-image/7e5a4196-2b51-45f5-a16f-947f2c515346.jpg,22.79 %,25.83 %,0.00 %,0.00 %,
Rythm Scotch & Soda - 3.5g,1A4110300001CE9000269349,,Flower,Indica,[GTI] Scotch & Soda,GTI,Vault,28,55,55,1A4110300001CE9000269349,11/14/2026,https://leaflogixmedia.blob.core.windows.net/product-image/63f1fdaa-6295-4aec-b576-03c874a710d9.jpg,29.69 %,33.54 %,0.00 %,0.00 %,
Rythm Cheddar Cheeze - 3.5g,1A4110300001CE9000269350,,Flower,Indica,[GTI] Cheddar Cheeze,GTI,Vault,30,55,55,1A4110300001CE9000269350,11/27/2026,https://leaflogixmedia.blob.core.windows.net/product-image/f7aef9d6-000b-464a-ae8e-bd65a8fd9ceb.jpg,29.45 %,33.20 %,0.00 %,0.00 %,
Rythm Bananaconda  - 3.5g,1A4110300001CE9000269351,,Flower,"Hybrid, Mixed Buds",[GTI] Bananaconda,GTI,Vault,30,55,55,1A4110300001CE9000269351,9/27/2026,https://leaflogixmedia.blob.core.windows.net/product-image/f4457b35-797d-4dff-8c01-0c7f4829fcd9.jpg,28.09 %,31.80 %,0.00 %,0.00 %,
